year,month,day,hour,flow_cfs,Source
1989,11,5,6,6090,USGS_12189500
1989,11,5,12,5300,USGS_12189500
1989,11,5,18,4840,USGS_12189500
1989,11,6,0,4790,USGS_12189500
1989,11,6,6,5080,USGS_12189500
1989,11,6,12,5920,USGS_12189500
1989,11,6,18,8480,USGS_12189500
1989,11,7,0,10100,USGS_12189500
1989,11,7,6,10200,USGS_12189500
1989,11,7,12,8170,USGS_12189500
1989,11,7,18,6810,USGS_12189500
1989,11,8,0,5950,USGS_12189500
1989,11,8,6,5380,USGS_12189500
1989,11,8,12,5330,USGS_12189500
1989,11,8,18,8310,USGS_12189500
1989,11,9,0,12600,USGS_12189500
1989,11,9,6,20900,USGS_12189500
1989,11,9,12,27700,USGS_12189500
1989,11,9,18,33700,USGS_12189500
1989,11,10,0,25800,USGS_12189500
1989,11,10,6,24200,USGS_12189500
1989,11,10,12,30000,USGS_12189500
1989,11,10,18,35800,USGS_12189500
1989,11,11,0,34000,USGS_12189500
1989,11,11,6,26400,USGS_12189500
1989,11,11,12,19900,USGS_12189500
1989,11,11,18,16500,USGS_12189500
1989,11,12,0,15500,USGS_12189500
1989,11,12,6,14400,USGS_12189500
1989,11,12,12,12700,USGS_12189500
1989,11,12,18,11100,USGS_12189500
1989,11,13,0,10000,USGS_12189500
1989,11,13,6,9080,USGS_12189500
1989,11,13,12,8410,USGS_12189500
1989,11,13,18,7900,USGS_12189500
1989,11,14,0,7540,USGS_12189500
1989,11,14,6,7340,USGS_12189500
1989,11,14,12,6990,USGS_12189500
1989,11,14,18,6510,USGS_12189500
1989,11,15,0,6120,USGS_12189500
1989,11,15,6,5810,USGS_12189500
1989,11,15,12,5500,USGS_12189500
1989,11,15,18,5270,USGS_12189500
1989,11,16,0,5080,USGS_12189500
1989,11,16,6,4900,USGS_12189500
1989,11,16,12,4740,USGS_12189500
1989,11,16,18,4690,USGS_12189500
1989,11,17,0,4820,USGS_12189500
1989,11,17,6,5080,USGS_12189500
1989,11,17,12,4980,USGS_12189500
1989,11,17,18,4740,USGS_12189500
1989,11,18,0,4560,USGS_12189500
1989,11,18,6,4460,USGS_12189500
1989,11,18,12,4350,USGS_12189500
1989,11,18,18,4300,USGS_12189500
1989,11,19,0,4300,USGS_12189500
1989,11,19,6,4400,USGS_12189500
1989,11,19,12,4690,USGS_12189500
1989,11,19,18,6210,USGS_12189500
1989,11,20,0,7280,USGS_12189500
1989,11,20,6,7090,USGS_12189500
1989,11,20,12,6540,USGS_12189500
1989,11,20,18,6690,USGS_12189500
1989,11,21,0,6630,USGS_12189500
1989,11,21,6,6690,USGS_12189500
1989,11,21,12,6690,USGS_12189500
1989,11,21,18,6300,USGS_12189500
1989,11,22,0,5860,USGS_12189500
1989,11,22,6,5550,USGS_12189500
1989,11,22,12,5270,USGS_12189500
1989,11,22,18,5030,USGS_12189500
1989,11,23,0,4840,USGS_12189500
1989,11,23,6,4660,USGS_12189500
1989,11,23,12,4640,USGS_12189500
1989,11,23,18,5580,USGS_12189500
1989,11,24,0,6930,USGS_12189500
1989,11,24,6,6570,USGS_12189500
1989,11,24,12,6040,USGS_12189500
1989,11,24,18,5780,USGS_12189500
1989,11,25,0,5690,USGS_12189500
1989,11,25,6,5550,USGS_12189500
1989,11,25,12,5380,USGS_12189500
1989,11,25,18,5140,USGS_12189500
1989,11,26,0,4980,USGS_12189500
1989,11,26,6,4790,USGS_12189500
1989,11,26,12,4690,USGS_12189500
1989,11,26,18,4580,USGS_12189500
1989,11,27,0,4530,USGS_12189500
1989,11,27,6,4330,USGS_12189500
1989,11,27,12,4130,USGS_12189500
1989,11,27,18,3980,USGS_12189500
1989,11,28,0,3910,USGS_12189500
1989,11,28,6,3810,USGS_12189500
1989,11,28,12,3700,USGS_12189500
1989,11,28,18,3600,USGS_12189500
1989,11,29,0,3560,USGS_12189500
1989,11,29,6,3490,USGS_12189500
1989,11,29,12,3400,USGS_12189500
1989,11,29,18,3330,USGS_12189500
1989,11,30,0,3260,USGS_12189500
1989,11,30,6,3220,USGS_12189500
1989,11,30,12,3150,USGS_12189500
1989,11,30,18,3110,USGS_12189500
1989,12,1,0,3040,USGS_12189500
1989,12,1,6,3000,USGS_12189500
1989,12,1,12,2930,USGS_12189500
1989,12,1,18,2890,USGS_12189500
1989,12,2,0,2850,USGS_12189500
1989,12,2,6,2850,USGS_12189500
1989,12,2,12,2850,USGS_12189500
1989,12,2,18,2850,USGS_12189500
1989,12,3,0,3490,USGS_12189500
1989,12,3,6,5330,USGS_12189500
1989,12,3,12,11100,USGS_12189500
1989,12,3,18,10100,USGS_12189500
1989,12,4,0,9510,USGS_12189500
1989,12,4,6,24300,USGS_12189500
1989,12,4,12,47700,USGS_12189500
1989,12,4,18,59200,USGS_12189500
1989,12,5,0,58600,USGS_12189500
1989,12,5,6,49000,USGS_12189500
1989,12,5,12,33900,USGS_12189500
1989,12,5,18,25200,USGS_12189500
1989,12,6,0,20300,USGS_12189500
1989,12,6,6,17000,USGS_12189500
1989,12,6,12,15000,USGS_12189500
1989,12,6,18,13700,USGS_12189500
1989,12,7,0,12100,USGS_12189500
1989,12,7,6,10900,USGS_12189500
1989,12,7,12,10400,USGS_12189500
1989,12,7,18,10000,USGS_12189500
1989,12,8,0,9620,USGS_12189500
1989,12,8,6,11000,USGS_12189500
1989,12,8,12,12700,USGS_12189500
1989,12,8,18,11400,USGS_12189500
1989,12,9,0,10800,USGS_12189500
1989,12,9,6,10500,USGS_12189500
1989,12,9,12,10200,USGS_12189500
1989,12,9,18,9510,USGS_12189500
1989,12,10,0,8940,USGS_12189500
1989,12,10,6,8380,USGS_12189500
1989,12,10,12,7870,USGS_12189500
1989,12,10,18,7470,USGS_12189500
1989,12,11,0,7090,USGS_12189500
1989,12,11,6,6780,USGS_12189500
1989,12,11,12,6450,USGS_12189500
1989,12,11,18,6210,USGS_12189500
1989,12,12,0,6040,USGS_12189500
1989,12,12,6,5810,USGS_12189500
1989,12,12,12,5580,USGS_12189500
1989,12,12,18,5410,USGS_12189500
1989,12,13,0,5270,USGS_12189500
1989,12,13,6,5110,USGS_12189500
1989,12,13,12,4950,USGS_12189500
1989,12,13,18,4790,USGS_12189500
1989,12,14,0,4710,USGS_12189500
1989,12,14,6,4640,USGS_12189500
1989,12,14,12,4510,USGS_12189500
1989,12,14,18,4400,USGS_12189500
1989,12,15,0,4330,USGS_12189500
1989,12,15,6,4230,USGS_12189500
1989,12,15,12,4100,USGS_12189500
1989,12,15,18,4030,USGS_12189500
1989,12,16,0,3980,USGS_12189500
1989,12,16,6,3890,USGS_12189500
1989,12,16,12,3810,USGS_12189500
1989,12,16,18,3740,USGS_12189500
1989,12,17,0,3670,USGS_12189500
1989,12,17,6,3580,USGS_12189500
1989,12,17,12,3510,USGS_12189500
1989,12,17,18,3440,USGS_12189500
1989,12,18,0,3400,USGS_12189500
1989,12,18,6,3330,USGS_12189500
1989,12,18,12,3220,USGS_12189500
1989,12,18,18,3150,USGS_12189500
1989,12,19,0,3130,USGS_12189500
1989,12,19,6,3110,USGS_12189500
1989,12,19,12,3040,USGS_12189500
1989,12,19,18,3000,USGS_12189500
1989,12,20,0,2950,USGS_12189500
1989,12,20,6,2910,USGS_12189500
1989,12,20,12,2870,USGS_12189500
1989,12,20,18,2830,USGS_12189500
1989,12,21,0,2790,USGS_12189500
1989,12,21,6,2740,USGS_12189500
1989,12,21,12,2700,USGS_12189500
1989,12,21,18,2660,USGS_12189500
1989,12,22,0,2640,USGS_12189500
1989,12,22,6,2620,USGS_12189500
1989,12,22,12,2620,USGS_12189500
1989,12,22,18,2620,USGS_12189500
1989,12,23,0,2640,USGS_12189500
1989,12,23,6,2680,USGS_12189500
1989,12,23,12,2680,USGS_12189500
1989,12,23,18,2740,USGS_12189500
1989,12,24,0,2700,USGS_12189500
1989,12,24,6,2660,USGS_12189500
1989,12,24,12,2620,USGS_12189500
1989,12,24,18,2580,USGS_12189500
1989,12,25,0,2520,USGS_12189500
1989,12,25,6,2500,USGS_12189500
1989,12,25,12,2460,USGS_12189500
