year,month,day,hour,flow_cfs,Source
1995,11,5,6,1420,USGS_12358500
1995,11,5,12,1450,USGS_12358500
1995,11,5,18,1430,USGS_12358500
1995,11,6,0,1420,USGS_12358500
1995,11,6,6,1460,USGS_12358500
1995,11,6,12,1490,USGS_12358500
1995,11,6,18,1460,USGS_12358500
1995,11,7,0,1430,USGS_12358500
1995,11,7,6,1410,USGS_12358500
1995,11,7,12,1380,USGS_12358500
1995,11,7,18,1380,USGS_12358500
1995,11,8,0,1410,USGS_12358500
1995,11,8,6,1450,USGS_12358500
1995,11,8,12,1530,USGS_12358500
1995,11,8,18,1770,USGS_12358500
1995,11,9,0,2230,USGS_12358500
1995,11,9,6,3110,USGS_12358500
1995,11,9,12,4130,USGS_12358500
1995,11,9,18,4490,USGS_12358500
1995,11,10,0,4440,USGS_12358500
1995,11,10,6,4240,USGS_12358500
1995,11,10,12,3990,USGS_12358500
1995,11,10,18,3720,USGS_12358500
1995,11,11,0,3580,USGS_12358500
1995,11,11,6,3510,USGS_12358500
1995,11,11,12,3460,USGS_12358500
1995,11,11,18,3400,USGS_12358500
1995,11,12,0,3290,USGS_12358500
1995,11,12,6,3240,USGS_12358500
1995,11,12,12,3180,USGS_12358500
1995,11,12,18,3110,USGS_12358500
1995,11,13,0,3030,USGS_12358500
1995,11,13,6,2960,USGS_12358500
1995,11,13,12,2900,USGS_12358500
1995,11,13,18,2840,USGS_12358500
1995,11,14,0,2820,USGS_12358500
1995,11,14,6,2880,USGS_12358500
1995,11,14,12,3050,USGS_12358500
1995,11,14,18,3490,USGS_12358500
1995,11,15,0,4340,USGS_12358500
1995,11,15,6,5130,USGS_12358500
1995,11,15,12,5630,USGS_12358500
1995,11,15,18,5840,USGS_12358500
1995,11,16,0,5900,USGS_12358500
1995,11,16,6,6020,USGS_12358500
1995,11,16,12,6330,USGS_12358500
1995,11,16,18,6740,USGS_12358500
1995,11,17,0,7020,USGS_12358500
1995,11,17,6,7150,USGS_12358500
1995,11,17,12,7150,USGS_12358500
1995,11,17,18,7120,USGS_12358500
1995,11,18,0,7050,USGS_12358500
1995,11,18,6,7050,USGS_12358500
1995,11,18,12,7150,USGS_12358500
1995,11,18,18,7410,USGS_12358500
1995,11,19,0,7410,USGS_12358500
1995,11,19,6,7310,USGS_12358500
1995,11,19,12,7090,USGS_12358500
1995,11,19,18,6900,USGS_12358500
1995,11,20,0,6610,USGS_12358500
1995,11,20,6,6330,USGS_12358500
1995,11,20,12,6050,USGS_12358500
1995,11,20,18,5780,USGS_12358500
1995,11,21,0,5510,USGS_12358500
1995,11,21,6,5370,USGS_12358500
1995,11,21,12,5200,USGS_12358500
1995,11,21,18,5030,USGS_12358500
1995,11,22,0,4920,USGS_12358500
1995,11,22,6,4790,USGS_12358500
1995,11,22,12,4710,USGS_12358500
1995,11,22,18,4600,USGS_12358500
1995,11,23,0,4490,USGS_12358500
1995,11,23,6,4420,USGS_12358500
1995,11,23,12,4340,USGS_12358500
1995,11,23,18,4290,USGS_12358500
1995,11,24,0,4390,USGS_12358500
1995,11,24,6,4740,USGS_12358500
1995,11,24,12,5340,USGS_12358500
1995,11,24,18,6360,USGS_12358500
1995,11,25,0,7310,USGS_12358500
1995,11,25,6,8210,USGS_12358500
1995,11,25,12,9060,USGS_12358500
1995,11,25,18,9820,USGS_12358500
1995,11,26,0,10100,USGS_12358500
1995,11,26,6,9890,USGS_12358500
1995,11,26,12,9360,USGS_12358500
1995,11,26,18,8870,USGS_12358500
1995,11,27,0,8440,USGS_12358500
1995,11,27,6,7950,USGS_12358500
1995,11,27,12,7500,USGS_12358500
1995,11,27,18,7120,USGS_12358500
1995,11,28,0,6830,USGS_12358500
1995,11,28,6,6520,USGS_12358500
1995,11,28,12,6300,USGS_12358500
1995,11,28,18,6110,USGS_12358500
1995,11,29,0,5930,USGS_12358500
1995,11,29,6,5840,USGS_12358500
1995,11,29,12,6020,USGS_12358500
1995,11,29,18,6800,USGS_12358500
1995,11,30,0,8180,USGS_12358500
1995,11,30,6,10200,USGS_12358500
1995,11,30,12,12500,USGS_12358500
1995,11,30,18,13400,USGS_12358500
1995,12,1,0,13200,USGS_12358500
1995,12,1,6,12500,USGS_12358500
1995,12,1,12,12100,USGS_12358500
1995,12,1,18,11600,USGS_12358500
1995,12,2,0,11000,USGS_12358500
1995,12,2,6,10300,USGS_12358500
1995,12,2,12,9790,USGS_12358500
1995,12,2,18,9260,USGS_12358500
1995,12,3,0,8770,USGS_12358500
1995,12,3,6,8280,USGS_12358500
1995,12,3,12,7860,USGS_12358500
1995,12,3,18,7500,USGS_12358500
1995,12,4,0,7210,USGS_12358500
1995,12,4,6,7020,USGS_12358500
1995,12,4,12,6770,USGS_12358500
1995,12,4,18,6450,USGS_12358500
1995,12,5,0,6140,USGS_12358500
1995,12,5,6,5870,USGS_12358500
1995,12,5,12,5630,USGS_12358500
1995,12,5,18,5430,USGS_12358500
1995,12,6,0,5220,USGS_12358500
1995,12,6,6,5080,USGS_12358500
1995,12,6,12,4940,USGS_12358500
1995,12,6,18,4760,USGS_12358500
1995,12,7,0,4680,USGS_12358500
1995,12,7,6,4550,USGS_12358500
1995,12,7,12,4420,USGS_12358500
1995,12,7,18,4260,USGS_12358500
1995,12,8,0,4030,USGS_12358500
1995,12,8,6,3740,USGS_12358500
1995,12,8,12,3510,USGS_12358500
1995,12,8,18,3370,USGS_12358500
1995,12,9,0,3290,USGS_12358500
1995,12,9,6,3220,USGS_12358500
1995,12,9,12,3130,USGS_12358500
1995,12,9,18,3110,USGS_12358500
1995,12,10,0,3220,USGS_12358500
1995,12,10,6,3310,USGS_12358500
1995,12,10,12,3330,USGS_12358500
1995,12,10,18,3290,USGS_12358500
1995,12,11,0,3290,USGS_12358500
1995,12,11,6,3350,USGS_12358500
1995,12,11,12,3460,USGS_12358500
1995,12,11,18,3600,USGS_12358500
1995,12,12,0,3650,USGS_12358500
1995,12,12,6,3560,USGS_12358500
1995,12,12,12,3490,USGS_12358500
1995,12,12,18,3490,USGS_12358500
1995,12,13,0,3630,USGS_12358500
1995,12,13,6,3790,USGS_12358500
1995,12,13,12,3960,USGS_12358500
1995,12,13,18,4010,USGS_12358500
1995,12,14,0,3990,USGS_12358500
1995,12,14,6,3960,USGS_12358500
1995,12,14,12,3910,USGS_12358500
1995,12,14,18,3840,USGS_12358500
1995,12,15,0,3790,USGS_12358500
1995,12,15,6,3740,USGS_12358500
1995,12,15,12,3700,USGS_12358500
1995,12,15,18,3630,USGS_12358500
1995,12,16,0,3560,USGS_12358500
1995,12,16,6,3490,USGS_12358500
1995,12,16,12,3440,USGS_12358500
1995,12,16,18,3370,USGS_12358500
1995,12,17,0,3330,USGS_12358500
1995,12,17,6,3240,USGS_12358500
1995,12,17,12,3200,USGS_12358500
1995,12,17,18,3130,USGS_12358500
1995,12,18,0,3090,USGS_12358500
1995,12,18,6,3050,USGS_12358500
1995,12,18,12,2990,USGS_12358500
1995,12,18,18,2920,USGS_12358500
1995,12,19,0,2840,USGS_12358500
1995,12,19,6,2800,USGS_12358500
1995,12,19,12,2780,USGS_12358500
1995,12,19,18,2720,USGS_12358500
1995,12,20,0,2680,USGS_12358500
1995,12,20,6,2680,USGS_12358500
1995,12,20,12,2720,USGS_12358500
1995,12,20,18,2660,USGS_12358500
1995,12,21,0,2620,USGS_12358500
1995,12,21,6,2580,USGS_12358500
1995,12,21,12,2550,USGS_12358500
1995,12,21,18,2510,USGS_12358500
1995,12,22,0,2470,USGS_12358500
1995,12,22,6,2430,USGS_12358500
1995,12,22,12,2400,USGS_12358500
1995,12,22,18,2360,USGS_12358500
